id,id_genre
tm74572,16
tm74572,8
tm74572,3
tm46867,5
tm46867,7
tm46867,2
tm160596,5
tm160596,6
tm160596,7
tm160596,17
tm88449,2
tm88449,3
ts40702,5
tm100106,2
tm70154,16
tm70154,3
tm70154,5
tm50572,16
tm216698,16
tm216698,5
tm216698,13
tm216698,0
tm216698,2
tm48083,5
tm48083,2
tm48083,6
tm415401,2
tm101950,5
tm228213,13
tm228213,5
ts8614,5
ts8614,0
tm28024,5
tm28024,2
tm28024,13
tm352863,10
tm241875,4
tm241875,5
tm241875,11
tm87909,1
tm75662,5
tm75662,0
tm75662,16
tm226362,17
tm481594,1
ts204466,13
ts204466,2
ts204466,5
tm341561,
ts188031,13
ts188031,5
ts188031,2
tm404676,
tm1077037,1
tm421094,2
tm421094,5
tm254745,4
tm254745,9
tm364196,2
tm421522,2
ts29581,0
ts29581,5
ts29581,16
tm423108,2
tm133068,7
ts95855,5
tm679559,2
ts160526,12
ts160526,14
ts160526,7
ts20660,5
ts20660,2
ts278,14
ts278,5
ts278,16
ts278,6
ts8175,5
ts8175,9
ts8175,6
tm57536,14
tm57536,8
tm57536,16
tm57536,0
ts20564,2
ts20564,13
ts17598,5
ts17598,0
ts17598,3
ts17598,14
tm72846,0
tm72846,16
ts20436,2
ts20436,0
ts21580,18
ts21580,5
ts21580,0
ts21580,3
tm46613,2
tm46613,0
tm46613,3
ts32835,0
ts32835,5
ts32835,1
ts32835,2
ts32835,8
tm71339,2
tm71339,5
tm71339,13
ts20457,14
ts20457,0
ts20457,5
ts20457,1
ts20457,2
ts20457,7
ts20457,8
ts21503,2
tm32982,5
tm32982,13
tm32982,9
tm32982,17
ts21095,0
ts21095,14
ts21095,10
ts21095,2
ts21095,7
ts21095,8
ts21095,16
ts21095,1
ts21095,3
ts21095,5
ts27680,5
ts27680,13
ts27680,2
ts27680,6
tm167643,2
tm176439,2
tm176439,18
tm176439,5
tm176439,1
tm176439,0
tm176439,7
tm176439,3
ts20433,1
ts20433,0
ts20433,16
ts20433,2
ts20433,5
ts20433,8
ts20433,10
ts20429,14
ts20429,0
ts20429,5
ts20429,1
ts20429,16
ts20429,8
ts20429,2
ts20429,13
ts83043,12
ts34737,5
ts34737,16
ts34737,0
ts34737,3
ts20500,5
ts20500,3
ts20500,2
ts20458,0
ts20458,2
ts20458,7
ts20458,8
ts20458,14
ts20458,1
ts20458,6
ts9794,2
ts9794,7
ts9794,1
ts33338,5
ts33338,16
ts33338,3
ts33338,6
ts36647,5
ts36647,2
ts36647,6
tm68632,13
tm68632,2
tm40319,16
tm40319,5
tm40319,0
tm40319,3
ts32561,2
ts32561,5
ts32561,13
tm67601,0
tm67601,16
tm67601,3
tm67601,6
tm167232,16
tm167232,0
tm167232,6
tm69601,0
tm69601,8
tm69601,13
tm69601,16
tm69601,2
tm69601,3
tm69601,7
tm69601,5
tm184015,0
tm184015,14
tm182586,5
tm39771,10
tm39771,0
tm39771,14
tm39771,16
tm39771,8
tm204762,4
tm204762,2
tm204762,7
ts27835,4
ts34151,14
ts34151,0
ts34151,2
ts34151,3
ts34151,1
tm163842,0
tm163842,3
tm163842,2
ts27468,14
ts27468,0
ts27468,2
ts27468,7
ts27468,1
ts34552,2
ts9246,0
ts9246,2
ts9246,14
ts9246,5
ts9246,7
ts9246,1
ts9246,8
ts9246,10
tm49592,5
tm49592,2
tm49592,13
tm56734,0
tm56734,5
tm56734,16
ts39093,5
tm53034,2
ts18551,2
ts18551,5
ts18551,6
ts22249,2
ts22249,1
ts22249,15
tm166438,0
tm166438,3
tm166438,7
tm166438,15
tm166438,1
tm166438,5
tm166438,13
tm166438,2
tm166438,8
tm166438,16
tm166438,14
tm166438,11
tm38013,16
tm38013,0
tm38013,3
tm62210,9
tm62210,0
tm62210,5
tm62210,17
ts6879,5
tm40550,5
tm40550,6
ts128422,5
tm68436,5
tm68436,13
tm68436,2
tm53625,4
tm172353,16
tm172353,0
tm172353,2
tm172353,3
ts158608,12
ts21081,5
ts21081,3
ts21081,9
ts21081,16
tm182125,5
tm182125,2
tm182125,13
ts32460,2
ts32460,5
ts32460,7
tm59289,2
tm59289,0
tm59289,3
ts55532,1
ts55532,6
ts27586,0
ts27586,14
ts27586,2
ts27586,8
ts27586,1
tm40860,2
tm40860,7
tm40860,11
tm170873,2
tm170873,5
tm100688,5
tm100688,9
tm100688,6
tm184732,5
tm67444,2
tm185208,5
tm185208,6
tm185208,7
tm185208,4
tm176111,5
tm176111,13
tm176111,2
tm57382,2
ts44064,2
ts44064,5
ts44064,13
tm59590,1
tm59590,0
tm59590,8
tm42306,13
tm42306,2
tm72845,2
tm72845,4
tm181856,2
tm181856,4
ts19779,1
ts19779,2
ts19779,7
tm172211,5
tm37175,2
tm177044,16
tm177044,2
tm177044,10
tm177044,1
tm177044,0
tm177044,8
ts167724,2
ts35426,1
ts35426,6
tm183037,16
tm183037,0
tm183037,3
tm183037,6
tm35700,5
tm35700,3
tm35700,15
tm35700,16
tm35700,0
tm178106,5
tm178106,7
tm178106,2
tm224577,2
tm224577,13
tm174190,4
tm174190,15
tm179451,5
tm179451,16
tm179451,2
tm57610,5
tm57610,16
tm57610,3
tm57610,8
tm177958,5
tm177958,2
tm177958,13
tm177958,6
tm176128,2
tm176128,13
tm160021,5
tm160021,13
tm180532,5
tm180532,3
tm180532,16
tm180532,0
ts45996,12
ts45996,4
tm172883,16
tm172883,0
tm172883,3
tm172883,5
tm172883,6
tm53360,5
tm53360,0
tm53360,16
tm53360,3
tm177258,0
tm177258,2
tm177258,3
tm177258,16
ts27875,1
ts27875,7
tm48239,5
tm48239,2
tm48239,13
tm44615,2
tm44615,7
tm44615,5
tm44615,15
tm29400,2
tm29400,5
ts191698,11
ts191698,1
ts191698,7
tm47171,5
tm47171,8
tm47171,2
ts69208,5
ts33349,1
ts33349,2
ts33349,7
ts33349,8
tm159593,3
tm159593,5
tm159593,16
ts39112,0
ts39112,1
ts39112,2
ts39112,7
ts39112,8
tm159623,5
tm159623,13
tm159623,16
ts81858,2
ts81858,7
ts81858,1
ts81858,16
ts81858,5
ts81858,10
ts26776,0
ts26776,14
ts26776,7
ts26776,8
ts26776,1
ts26776,2
tm54780,14
tm54780,1
tm54780,0
ts58528,12
ts37864,5
ts37864,9
ts37864,13
tm37573,2
ts60663,7
ts60663,5
tm72251,2
tm38331,13
tm38331,5
tm33600,2
tm33600,8
tm69749,0
tm69749,5
tm69749,16
tm69749,3
tm34646,5
tm34646,2
tm162592,5
ts16586,0
ts16586,3
ts16586,5
tm161632,2
tm172504,5
tm172504,13
tm172504,17
tm172504,6
tm166740,1
tm166740,0
tm166740,8
tm161804,5
tm34142,16
tm34142,0
tm34142,3
ts39465,5
ts39465,13
ts39465,2
tm165312,8
tm165312,5
